QTL_ID	PosInGenome	MutEffect	Freq	OriginTick

418414.0	46646.0	-0.101463	1.0	119546.0
248637.0	209386.0	0.122592	1.0	70892.0
444951.0	208014.0	0.0291078	1.0	127264.0
520904.0	183131.0	-0.0860369	1.0	150289.0
766842.0	21121.0	-0.107827	1.0	220919.0
433214.0	459242.0	0.0132849	1.0	123838.0
681591.0	456233.0	0.184229	1.0	197242.0
181054.0	189308.0	0.0343259	1.0	51234.0
383952.0	159820.0	-0.0960174	1.0	109024.0
165420.0	451825.0	0.13394	1.0	46640.0
330887.0	330217.0	-0.068057	1.0	93964.0
416451.0	152172.0	-0.0778794	1.0	118985.0
669719.0	404375.0	-0.0638789	1.0	193986.0
525887.0	393408.0	-0.137927	1.0	151818.0
327295.0	134024.0	-0.0139311	1.0	92977.0
378243.0	97748.0	0.0775864	1.0	107357.0
231930.0	399082.0	0.0796183	1.0	66115.0
208549.0	208925.0	-0.154308	1.0	59380.0
108152.0	318035.0	0.247238	1.0	29544.0
35542.0	423995.0	0.0207652	1.0	9308.0
393840.0	200052.0	-0.0543577	1.0	112047.0
182026.0	483458.0	-0.017055	1.0	51511.0
122532.0	317617.0	0.0787172	1.0	33874.0
328663.0	177870.0	-0.160836	1.0	93348.0
56457.0	262809.0	-0.163821	1.0	14962.0
477566.0	445278.0	-0.163026	1.0	137109.0
443545.0	402143.0	0.127998	1.0	126836.0
211354.0	208087.0	0.0338917	1.0	60162.0
698739.0	390165.0	-0.0759653	1.0	201929.0
653957.0	335939.0	0.0240023	1.0	189580.0
633631.0	372109.0	-0.0470168	1.0	183710.0
312220.0	74224.0	0.09214	1.0	88692.0
791634.0	472340.0	-0.0596416	1.0	227762.0
579000.0	423374.0	-0.251847	1.0	168090.0
636204.0	356749.0	0.0366726	1.0	184411.0
557707.0	465772.0	-0.0371693	1.0	161782.0
557972.0	240552.0	0.00484427	1.0	161863.0
626955.0	363310.0	-0.0935366	1.0	181758.0
701125.0	109167.0	-0.118999	1.0	202592.0
746495.0	27230.0	0.0810968	1.0	215266.0
496908.0	126771.0	-0.0866204	1.0	142980.0
554737.0	66256.0	-0.0598196	1.0	160709.0
386507.0	81158.0	-0.042039	1.0	109795.0
435793.0	249504.0	-0.212677	1.0	124581.0
582981.0	411243.0	0.311127	1.0	169229.0
751581.0	478924.0	0.0414082	1.0	216713.0
726466.0	358393.0	0.0352054	1.0	209649.0
571503.0	57593.0	-0.010861	1.0	165926.0
410936.0	413041.0	-0.106542	1.0	117260.0
398700.0	34500.0	-0.0710719	1.0	113591.0
294849.0	1943.0	-0.112178	1.0	83663.0
734349.0	30851.0	0.305909	1.0	211864.0
268744.0	22016.0	0.0616493	1.0	76527.0
705938.0	308804.0	-0.0701813	1.0	203915.0
246000.0	34810.0	-0.0315762	1.0	70165.0
636456.0	419007.0	-0.146222	1.0	184487.0
307481.0	91861.0	0.00519162	1.0	87315.0
233652.0	158104.0	0.0729412	1.0	66620.0
217719.0	89745.0	-0.0582911	1.0	62027.0
664673.0	448944.0	0.104929	1.0	192569.0
327969.0	178499.0	0.175206	1.0	93167.0
530508.0	210390.0	0.19912	1.0	153216.0
136816.0	422515.0	0.0348644	1.0	38266.0
240336.0	369325.0	0.0213622	1.0	68586.0
115990.0	435853.0	-0.283135	1.0	31885.0
152258.0	186146.0	-0.123784	1.0	42948.0
15020.0	266960.0	0.0446325	1.0	3821.0
473246.0	364034.0	0.129949	1.0	135800.0
554527.0	213501.0	0.0320034	1.0	160644.0
597524.0	433422.0	0.163753	1.0	173186.0
376754.0	393733.0	0.194791	1.0	106930.0
560195.0	230221.0	-0.072719	1.0	162517.0
129529.0	448361.0	-0.159364	1.0	35971.0
93428.0	7851.0	-0.0546695	1.0	25313.0
176644.0	123807.0	-0.0767255	1.0	49890.0
139905.0	417293.0	0.0207314	1.0	39272.0
418229.0	158802.0	0.00269833	1.0	119492.0
104560.0	10694.0	-0.0230107	1.0	28486.0
376259.0	62448.0	0.113785	1.0	106787.0
157507.0	385500.0	0.012988	1.0	44414.0
110902.0	352667.0	0.153104	1.0	30325.0
610310.0	366549.0	0.0751803	1.0	176813.0
323332.0	236191.0	0.0418122	1.0	91824.0
723741.0	147449.0	-0.0781793	1.0	208927.0
510374.0	394556.0	-0.0142772	1.0	147024.0
738957.0	191875.0	-0.0106289	1.0	213208.0
732864.0	34524.0	-0.234726	1.0	211428.0
270622.0	161872.0	0.0200074	1.0	77037.0
322634.0	167383.0	-0.0147781	1.0	91623.0
593885.0	321250.0	0.122535	1.0	172199.0
273238.0	367311.0	0.00251671	1.0	77720.0
