QTL_ID	Freq	MutEffect

4.03558e+06	1.0	-0.0443462
5.66071e+06	1.0	-0.0991078
3.34585e+06	1.0	-0.0167091
2.34557e+06	1.0	-0.00643089
5.38964e+06	1.0	-0.109647
3.00522e+06	1.0	-0.0368395
5.03111e+06	1.0	-9.71761e-05
950477.0	1.0	-0.0320668
4.07812e+06	1.0	0.0189147
1.53335e+06	1.0	0.0508794
5.14345e+06	1.0	0.0535369
3.19214e+06	1.0	-0.0412136
2.27422e+06	1.0	-0.0661908
3.18978e+06	1.0	-0.290788
3.68173e+06	1.0	-0.111148
3.91895e+06	1.0	-0.0250173
5.5299e+06	1.0	0.115689
1.52642e+06	1.0	0.0396652
5.71446e+06	1.0	-0.0114901
3.2414e+06	1.0	0.116431
5.3906e+06	1.0	0.0700558
3.72184e+06	1.0	0.0290328
4.35339e+06	1.0	-0.0266384
3.42667e+06	1.0	0.0225381
3.93356e+06	1.0	-0.00442658
3.69606e+06	1.0	0.0710406
2.12812e+06	1.0	-0.151935
343776.0	1.0	0.00849769
1.12154e+06	1.0	-0.0631985
4.74932e+06	1.0	-0.0724295
2.08659e+06	1.0	-0.032958
3.60091e+06	1.0	-0.0811516
623201.0	1.0	0.0658997
4.14365e+06	1.0	-0.0619861
1.00792e+06	1.0	-0.0205463
3.51103e+06	1.0	-0.152672
5.72596e+06	1.0	-0.0321395
4.0996e+06	1.0	-0.115788
3.80925e+06	1.0	0.125955
4.17123e+06	1.0	0.0445385
2.87504e+06	1.0	0.0189448
162711.0	1.0	0.0114242
4.11003e+06	1.0	-0.0301332
3.48143e+06	1.0	-0.0563353
1.02981e+06	1.0	-0.0181581
5.13885e+06	1.0	-0.0165274
2.3543e+06	1.0	-0.0391462
3.56581e+06	1.0	0.0245102
2.91347e+06	1.0	0.05668
5.41086e+06	1.0	-0.124391
4.50173e+06	1.0	0.0504626
1.03582e+06	1.0	0.0166764
384121.0	1.0	-0.131724
1.68914e+06	1.0	0.00316044
4.33089e+06	1.0	-0.124776
2.73443e+06	1.0	-0.0602751
2.00193e+06	1.0	0.0347358
4.67887e+06	1.0	-0.0105205
675420.0	1.0	0.0898629
1.73799e+06	1.0	0.0286805
3.53468e+06	1.0	-0.0357135
3.1819e+06	1.0	0.260165
2.04735e+06	1.0	0.0912906
4.55332e+06	1.0	-0.116169
2.30709e+06	1.0	0.0603369
2.2324e+06	1.0	0.0303867
2.23802e+06	1.0	0.00721808
2.71307e+06	1.0	0.0932788
4.29818e+06	1.0	0.0791356
4.44016e+06	1.0	0.0224542
1.90625e+06	1.0	-0.0145715
2.61961e+06	1.0	-0.0996553
250218.0	1.0	0.0425563
5.46499e+06	1.0	0.0649525
