QTL_ID	Freq	MutEffect

418414.0	1.0	-0.101463
248637.0	1.0	0.122592
444951.0	1.0	0.0291078
520904.0	1.0	-0.0860369
766842.0	1.0	-0.107827
433214.0	1.0	0.0132849
681591.0	1.0	0.184229
181054.0	1.0	0.0343259
383952.0	1.0	-0.0960174
165420.0	1.0	0.13394
330887.0	1.0	-0.068057
416451.0	1.0	-0.0778794
669719.0	1.0	-0.0638789
525887.0	1.0	-0.137927
327295.0	1.0	-0.0139311
378243.0	1.0	0.0775864
231930.0	1.0	0.0796183
208549.0	1.0	-0.154308
108152.0	1.0	0.247238
35542.0	1.0	0.0207652
393840.0	1.0	-0.0543577
182026.0	1.0	-0.017055
122532.0	1.0	0.0787172
328663.0	1.0	-0.160836
56457.0	1.0	-0.163821
477566.0	1.0	-0.163026
443545.0	1.0	0.127998
211354.0	1.0	0.0338917
698739.0	1.0	-0.0759653
653957.0	1.0	0.0240023
633631.0	1.0	-0.0470168
312220.0	1.0	0.09214
791634.0	1.0	-0.0596416
579000.0	1.0	-0.251847
636204.0	1.0	0.0366726
557707.0	1.0	-0.0371693
557972.0	1.0	0.00484427
626955.0	1.0	-0.0935366
701125.0	1.0	-0.118999
746495.0	1.0	0.0810968
496908.0	1.0	-0.0866204
554737.0	1.0	-0.0598196
386507.0	1.0	-0.042039
435793.0	1.0	-0.212677
582981.0	1.0	0.311127
751581.0	1.0	0.0414082
726466.0	1.0	0.0352054
571503.0	1.0	-0.010861
410936.0	1.0	-0.106542
398700.0	1.0	-0.0710719
294849.0	1.0	-0.112178
734349.0	1.0	0.305909
268744.0	1.0	0.0616493
705938.0	1.0	-0.0701813
246000.0	1.0	-0.0315762
636456.0	1.0	-0.146222
307481.0	1.0	0.00519162
233652.0	1.0	0.0729412
217719.0	1.0	-0.0582911
664673.0	1.0	0.104929
327969.0	1.0	0.175206
530508.0	1.0	0.19912
136816.0	1.0	0.0348644
240336.0	1.0	0.0213622
115990.0	1.0	-0.283135
152258.0	1.0	-0.123784
15020.0	1.0	0.0446325
473246.0	1.0	0.129949
554527.0	1.0	0.0320034
597524.0	1.0	0.163753
376754.0	1.0	0.194791
560195.0	1.0	-0.072719
129529.0	1.0	-0.159364
93428.0	1.0	-0.0546695
176644.0	1.0	-0.0767255
139905.0	1.0	0.0207314
418229.0	1.0	0.00269833
104560.0	1.0	-0.0230107
376259.0	1.0	0.113785
157507.0	1.0	0.012988
110902.0	1.0	0.153104
610310.0	1.0	0.0751803
323332.0	1.0	0.0418122
723741.0	1.0	-0.0781793
510374.0	1.0	-0.0142772
738957.0	1.0	-0.0106289
732864.0	1.0	-0.234726
270622.0	1.0	0.0200074
322634.0	1.0	-0.0147781
593885.0	1.0	0.122535
273238.0	1.0	0.00251671
341960.0	1.0	-0.00870502
454189.0	1.0	0.17246
174815.0	1.0	0.0482815
507731.0	1.0	0.303788
580597.0	1.0	-0.0898373
732094.0	1.0	0.131353
390678.0	1.0	0.0724765
392701.0	1.0	-0.15385
238654.0	1.0	-0.0634148
617393.0	1.0	0.0380291
809890.0	0.893396	-0.0635494
789710.0	0.784906	-0.010878
718175.0	0.664151	0.0345214
787236.0	0.613679	-0.240435
811725.0	0.613679	0.122739
779514.0	0.613679	0.194299
760089.0	0.613679	-0.0807346
854636.0	0.54717	0.00405182
850589.0	0.52783	0.0869604
839298.0	0.498113	-0.0986669
847851.0	0.449528	-0.0427587
835558.0	0.360377	0.0862632
822857.0	0.336321	-0.108963
823432.0	0.309434	-0.0354079
831276.0	0.292925	0.10413
777776.0	0.291509	-0.0242502
846105.0	0.278302	0.0724448
844132.0	0.253774	-0.202797
861940.0	0.209906	-0.260084
856064.0	0.19717	0.208111
844252.0	0.160849	0.0466773
867987.0	0.156132	0.207037
824059.0	0.134906	-0.0165958
855367.0	0.134906	0.289008
852955.0	0.124057	0.00567972
867469.0	0.108491	-0.14495
859450.0	0.102358	-0.00111463
867153.0	0.0948113	0.0726439
866692.0	0.0773585	0.276554
866341.0	0.0735849	0.0178629
864897.0	0.065566	0.0770528
854206.0	0.0627358	-0.0540603
869442.0	0.0490566	-0.156368
862243.0	0.0424528	0.00803589
866289.0	0.0419811	-0.248009
863845.0	0.0396226	-0.000730739
869790.0	0.0287736	-0.13822
867718.0	0.0268868	0.00911764
869786.0	0.0268868	0.0104526
870379.0	0.0254717	-0.0206553
869881.0	0.025	-0.113401
869759.0	0.0240566	-0.207719
868885.0	0.0231132	-0.0358477
861709.0	0.0226415	0.138448
867273.0	0.0216981	-0.289968
869491.0	0.0216981	-0.178041
869060.0	0.0212264	0.0930689
869953.0	0.0188679	-0.103186
837093.0	0.0183962	0.00809314
869290.0	0.0169811	-0.0480735
870201.0	0.015566	0.0215131
870772.0	0.0150943	-0.479436
865027.0	0.0146226	0.0135454
869763.0	0.0141509	-0.197641
865691.0	0.0136792	0.0211706
869715.0	0.0132075	0.520129
868744.0	0.0132075	-0.27508
868990.0	0.0122642	-0.311675
870204.0	0.00943396	-0.223757
870365.0	0.00943396	0.0728315
869574.0	0.00943396	-0.39427
870441.0	0.00943396	-0.17893
868924.0	0.00896226	-0.290953
866054.0	0.00849057	0.0374975
870440.0	0.00849057	-0.0604219
870698.0	0.00754717	0.353813
870790.0	0.00754717	0.0165832
870565.0	0.00754717	0.0646802
870683.0	0.00707547	-0.269429
870539.0	0.00707547	-0.467034
870297.0	0.00707547	-0.176976
870750.0	0.00613208	0.0401007
870184.0	0.00566038	0.0436751
867640.0	0.00566038	-0.0077666
869964.0	0.00566038	0.214298
870651.0	0.00518868	-0.0877628
869692.0	0.00518868	0.0589116
870538.0	0.00471698	0.23813
870080.0	0.00424528	-0.0980549
869286.0	0.00377358	0.347626
870653.0	0.00377358	-0.0590146
870506.0	0.00377358	-0.35762
870307.0	0.00330189	-0.0412957
870811.0	0.00330189	-0.0397162
870648.0	0.00283019	-0.378898
870775.0	0.00283019	-0.00114043
870701.0	0.00283019	0.149386
863672.0	0.00235849	0.206554
870763.0	0.00235849	0.06701
870808.0	0.00235849	-0.0959956
870829.0	0.00188679	-0.402317
870719.0	0.00141509	0.413594
870830.0	0.00141509	0.0753495
870823.0	0.000943396	-0.00583708
870818.0	0.000943396	0.162296
870802.0	0.000943396	-0.174619
870329.0	0.000943396	-0.303969
870840.0	0.000943396	-0.367214
870792.0	0.000943396	-0.322853
870676.0	0.000943396	0.230938
870814.0	0.000943396	0.51305
870835.0	0.000943396	0.12042
870834.0	0.000471698	-0.0777492
870847.0	0.000471698	0.41301
870824.0	0.000471698	-0.444847
870849.0	0.000471698	-0.529428
870844.0	0.000471698	-0.560149
870839.0	0.000471698	-0.246281
870842.0	0.000471698	0.17818
870843.0	0.000471698	-0.252188
870804.0	0.000471698	0.125348
870826.0	0.000471698	0.338263
